"race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_degree","charge_name"
2,0,61,0,0,8,1,"arrest case no charge"
6,0,46,0,0,2,1,"Other"
2,0,38,0,0,0,0,"arrest case no charge"
3,0,37,0,0,9,1,"arrest case no charge"
3,0,42,0,0,4,0,"Battery"
2,0,29,1,0,1,1,"Grand Theft"
2,0,31,0,0,7,1,"Possession of Cannabis/Marijuana"
1,0,25,0,0,2,0,"Other"
2,1,42,0,0,0,1,"Assault with a Deadly Weapon"
1,0,61,0,0,6,1,"Other"
1,0,52,0,0,0,1,"Battery"
2,0,33,0,0,2,1,"Other"
1,0,23,0,0,19,1,"Burglary"
6,0,51,0,0,2,1,"Other"
1,0,29,3,0,1,1,"Battery"
1,0,30,0,0,1,0,"Driving Under the Influence"
2,0,25,0,0,8,1,"Driving with a Suspended License"
2,0,24,0,0,1,1,"arrest case no charge"
2,0,32,0,0,0,1,"Other"
1,0,30,0,0,0,1,"Battery"
2,0,37,0,0,0,1,"arrest case no charge"
1,0,26,0,0,3,1,"Other"
2,1,47,1,0,0,1,"Grand Theft"
3,0,53,0,0,12,0,"Other"
2,0,46,0,0,2,1,"Other"
3,1,21,0,0,3,1,"Grand Theft"
1,1,28,0,0,14,0,"Assault with a Deadly Weapon"
2,1,22,0,0,0,1,"Battery"
3,0,64,0,0,1,1,"Battery"
1,0,25,0,0,0,0,"arrest case no charge"
1,1,37,0,0,5,1,"arrest case no charge"
1,0,22,0,0,0,1,"Other"
2,1,21,0,0,2,0,"arrest case no charge"
1,0,70,0,1,1,0,"Other"
6,0,27,0,0,0,1,"Driving Under the Influence"
2,1,48,0,0,4,1,"Possession of Cocaine"
2,0,26,0,0,0,1,"arrest case no charge"
1,0,38,0,0,0,1,"Burglary"
2,0,55,0,0,4,0,"Driving with a Suspended License"
1,0,28,0,0,1,1,"arrest case no charge"
1,0,25,0,0,3,1,"Possession of Cocaine"
2,1,55,0,0,4,1,"Other"
1,0,20,0,0,0,0,"Driving with a Suspended License"
6,0,25,0,0,12,0,"Grand Theft"
2,1,44,0,0,0,1,"Driving with a Suspended License"
1,0,20,0,0,9,1,"arrest case no charge"
1,0,44,0,0,6,1,"Battery"
2,0,22,0,0,4,1,"Battery"
2,0,18,0,0,0,1,"Possession of a Controlled Substance"
2,0,23,0,0,1,0,"Possession of Cannabis/Marijuana"
1,0,23,0,0,5,0,"Battery"
2,0,26,0,0,1,0,"Burglary"
1,0,57,0,0,7,0,"Burglary"
