"id","recidivate","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_degree","charge_name"
2037,0,2,0,26,0,0,0,0,"Battery"
5680,1,2,0,32,0,0,6,0,"Battery"
5830,0,1,0,25,0,0,2,1,"Burglary"
6,0,6,0,43,0,0,2,1,"arrest case no charge"
9517,0,1,1,57,0,0,2,1,"Possession of Cocaine"
808,0,1,0,27,0,1,6,1,"Battery"
4778,1,1,0,67,0,0,0,1,"Grand Theft"
5348,1,2,1,35,0,0,0,0,"Battery"
1548,1,2,0,28,0,0,6,1,"Other"
5938,1,2,0,25,0,0,4,0,"Battery"
4317,0,2,0,25,0,0,1,0,"Driving with a Suspended License"
10627,0,1,0,33,0,0,2,1,"Other"
9307,1,2,0,56,0,0,22,1,"Possession of Cocaine"
8168,1,2,1,20,0,0,0,0,"Battery"
9240,1,2,0,27,1,0,1,1,"Grand Theft"
1150,1,2,1,47,0,0,19,1,"Possession of Cocaine"
6446,1,1,0,31,0,0,0,0,"Battery"
843,0,2,0,42,0,0,8,1,"arrest case no charge"
8686,0,1,1,21,0,0,1,0,"Battery"
268,1,1,0,78,0,0,1,0,"Driving Under the Influence"
2038,0,6,0,32,0,0,4,1,"Other"
3974,0,2,0,30,0,0,7,1,"Driving with a Revoked License"
120,0,2,0,41,0,0,1,0,"arrest case no charge"
1298,0,2,0,24,0,1,7,0,"Battery"
696,1,5,1,34,0,0,4,1,"arrest case no charge"
4191,0,1,1,35,0,0,2,1,"Grand Theft"
10448,1,2,0,48,0,0,11,0,"Other"
543,1,3,0,34,0,0,2,0,"arrest case no charge"
1772,0,3,0,37,0,1,4,1,"arrest case no charge"
1167,0,2,0,26,0,0,2,0,"Battery"
8586,0,2,0,52,0,0,2,0,"Driving Under the Influence"
9797,1,2,0,30,0,0,2,1,"Possession of Cocaine"
6067,1,2,0,29,0,0,6,0,"Battery"
3578,1,3,0,39,0,0,2,1,"Other"
9922,0,2,1,26,0,1,4,1,"arrest case no charge"
1771,1,3,0,20,0,0,0,1,"Burglary"
5196,0,3,0,33,0,0,1,1,"arrest case no charge"
2922,0,2,0,51,0,0,5,0,"Driving with a Suspended License"
8344,1,2,0,41,2,0,14,0,"arrest case no charge"
2181,1,2,0,30,2,0,20,1,"Battery"
501,0,1,0,36,0,0,0,0,"Other"
5607,0,1,0,38,0,0,2,1,"Other"
857,1,2,0,28,8,0,16,1,"Assault"
8589,0,1,0,30,0,0,0,1,"Battery"
1596,1,2,0,27,0,0,1,1,"Possession of Cannabis/Marijuana"
1358,1,2,0,28,0,0,3,0,"arrest case no charge"
9475,0,2,0,31,0,0,1,1,"Driving with a Revoked License"
5667,1,3,0,35,0,0,5,0,"Other"
1037,1,4,0,21,0,0,0,1,"Other"
4833,0,1,0,25,0,0,2,1,"Grand Theft"
10369,0,3,0,29,0,0,1,1,"Battery"
9150,1,1,0,21,0,2,2,1,"Other"
5804,1,2,0,24,0,0,8,1,"Grand Theft"
884,1,1,0,66,0,0,0,0,"Battery"
5635,0,1,1,52,0,0,3,0,"Driving Under the Influence"
3678,0,1,0,35,0,0,1,1,"arrest case no charge"
10019,1,2,0,23,0,1,3,1,"Possession of a Controlled Substance"
8343,1,3,0,30,0,0,7,1,"Possession of Cannabis/Marijuana"
7875,1,2,0,25,0,0,4,1,"Grand Theft"
2893,0,2,0,27,0,0,4,1,"Other"
10124,0,1,1,27,0,0,2,0,"Driving with a Suspended License"
4001,1,2,0,42,0,0,0,1,"Other"
3115,0,2,1,40,0,0,7,0,"Other"
2586,0,1,0,40,0,0,1,1,"Other"
8382,1,6,0,44,0,0,6,1,"Driving with a Suspended License"
8733,0,2,0,30,0,0,1,1,"Battery"
10990,1,1,0,23,0,2,5,0,"arrest case no charge"
1692,0,1,0,46,0,0,1,0,"Other"
7429,1,1,0,19,0,0,0,0,"Battery"
9931,0,2,0,58,0,0,0,0,"Driving Under the Influence"
6825,1,2,0,62,0,0,22,1,"Possession of Cocaine"
6022,1,1,0,58,0,0,5,1,"Grand Theft"
2474,1,2,0,45,0,0,8,1,"arrest case no charge"
7759,1,2,0,22,0,0,0,1,"Possession of Cannabis/Marijuana"
8908,0,2,0,38,0,0,5,0,"Battery"
1237,0,2,0,32,0,0,0,0,"Other"
7440,0,2,0,34,1,0,5,1,"Battery"
8404,0,1,0,46,0,0,1,1,"arrest case no charge"
6866,0,2,1,23,0,1,1,0,"Battery"
4999,1,2,0,33,0,0,2,1,"Grand Theft"
4284,1,6,0,53,0,0,4,0,"Other"
6566,1,2,0,25,0,0,9,1,"arrest case no charge"
3828,1,1,0,44,0,0,8,1,"arrest case no charge"
7634,0,2,0,36,0,0,0,1,"Forgery"
4432,0,1,0,22,0,0,0,0,"Other"
8580,0,2,0,28,0,0,3,0,"Other"
8633,1,1,0,21,0,0,2,1,"Grand Theft"
1006,0,2,0,35,0,0,0,0,"Other"
6238,0,3,0,44,0,0,2,1,"Other"
10805,0,1,0,34,0,0,13,1,"Burglary"
3335,1,3,1,30,0,0,0,0,"Battery"
1427,1,2,0,32,0,0,14,1,"Grand Theft"
7029,1,2,0,33,0,0,16,0,"Driving with a Suspended License"
1209,0,1,0,20,0,0,0,1,"Grand Theft"
8349,0,2,0,31,0,0,2,1,"Grand Theft"
1691,0,1,0,25,0,0,4,0,"Possession of Cannabis/Marijuana"
265,1,2,0,28,0,0,6,0,"Other"
2974,1,2,0,57,0,0,8,1,"Battery"
7586,0,6,0,44,0,0,0,1,"Other"
2390,1,2,0,32,2,0,15,1,"Driving with a Revoked License"
9785,0,1,0,47,0,0,0,0,"Battery"
1446,0,1,0,35,0,0,2,1,"Other"
4865,0,3,1,35,0,0,0,0,"Battery"
1296,0,1,0,46,0,0,0,1,"Possession of Cocaine"
9663,0,2,1,29,0,0,1,0,"Battery"
10925,1,1,0,26,0,0,3,0,"Driving with a Suspended License"
8548,1,2,0,38,1,2,22,0,"Possession of Cannabis/Marijuana"
4486,1,1,0,23,0,1,2,1,"arrest case no charge"
3031,1,1,0,29,0,0,7,1,"Assault"
